SWV ITM Data Console - ITM Port: 0
C device is ready.
MPU6050 is ready!
Calibration Complete!
Accel Offsets: X = -4145, Y = -917, Z = 14036
Gyro Offsets: X = -466, Y = 163, Z = -193
ax, ay, az, gx, gy, gz
0.3419, -0.1879, 0.0464, -63.5344, 62.8092, -9.8168
0.4468, 0.1014, -0.0479, -43.6794, 52.6336, -27.0153
0.4464, 0.0975, 0.0635, 17.5725, 9.9618, -6.1908
0.3931, 0.0523, 0.0425, 50.3664, -5.2366, 3.2214
0.4041, -0.0060, -0.0508, 68.8702, -3.7405, 17.1756
0.3487, -0.0720, 0.0564, 69.7328, -11.7634, 21.9008
0.3272, -0.0678, 0.0466, 60.8321, -9.2214, 7.6718
0.3360, -0.0663, -0.0247, 38.4275, -0.4580, -2.9695
0.3646, 0.0240, 0.0349, 21.7176, 0.1756, -11.4198
0.3831, -0.0065, -0.0022, 7.6260, -8.9618, -20.4122
0.4239, 0.1292, 0.0486, 23.3664, -12.4580, -12.8931
0.6295, 0.5115, -0.1687, 113.3817, -40.6718, 39.8244
0.4190, -0.0502, 0.1389, 150.4198, -64.5954, 46.5496
0.3096, -0.0507, 0.0220, 54.1756, -17.6718, -30.8931
0.3414, 0.0462, 0.0457, 42.7863, -6.1527, -27.2901
0.2943, 1.0472, -0.4055, -38.9695, 32.0916, 26.8321
0.5740, 0.4566, 0.2229, -3.9313, 22.7710, -31.4656
0.3043, 0.0098, -0.1431, 27.5496, -8.2519, -3.3206
0.2913, -0.0549, 0.0437, -8.3282, 11.0458, -36.2366
0.2950, 0.0325, 0.0093, -25.0916, 33.6794, -67.1832
0.3184, 0.0648, 0.0144, -17.3740, 34.8092, -94.8855
0.3150, 0.0350, 0.0312, -28.9237, 47.6794, -91.9618
0.3248, 0.0513, 0.0366, -43.0611, 57.4656, -92.2595
0.3172, 0.0931, 0.0532, -43.2595, 63.0382, -80.5649
0.3045, 0.1165, 0.0891, -42.6641, 34.7863, -83.6870
0.4825, -0.1655, 0.6826, -39.7176, -2.0382, -80.0992
