SWV ITM Data Console - ITM Port: 0
2C device is ready.
MPU6050 is ready!
Calibration Complete!
Accel Offsets: X = -5674, Y = 614, Z = 11746
Gyro Offsets: X = -726, Y = -452, Z = -158
ax, ay, az, gx, gy, gz
0.2531, -0.2584, -0.1056, 10.7328, 19.2901, 1.9771
0.2448, -0.2731, -0.0621, 8.9542, 21.3282, 0.7481
0.2433, -0.2699, -0.0074, 8.8473, 20.4656, 0.6870
0.2570, -0.2587, 0.0040, 8.2824, 15.3053, 1.2977
0.2577, -0.2428, -0.0231, 7.2366, 8.8092, 3.9160
0.2667, -0.2301, -0.0470, 9.3359, 2.0992, 6.5954
0.2792, -0.2264, -0.0604, 10.8702, -4.4275, 10.1756
0.2731, -0.2233, -0.0658, 7.0458, -7.4656, 13.1908
0.2684, -0.2164, -0.0431, 5.9924, -8.9924, 15.7099
0.2509, -0.2357, -0.0421, 6.7557, -9.6260, 15.9237
0.2423, -0.2382, -0.0360, 10.0382, -10.0076, 17.9466
0.2269, -0.1923, -0.0358, 6.7328, -8.4122, 22.0229
0.2191, -0.1801, -0.0416, -3.9084, -6.4580, 25.5725
0.2096, -0.2067, -0.0555, -1.1221, -12.8550, 21.5114
0.2203, -0.2374, -0.0665, -12.9313, -13.0840, 28.8244
0.2162, -0.2328, 0.0065, -39.7557, -4.2137, 35.4580
0.2076, -0.1906, 0.1285, -50.4885, 6.2672, 37.5115
0.2281, -0.1381, 0.2262, -46.7023, 7.6870, 35.9618
0.2604, -0.0909, 0.2262, -25.6794, 6.0305, 28.3359
0.2955, -0.1322, 0.0370, -3.4275, 4.3206, 20.8779
0.3356, -0.1886, -0.0629, 9.9924, 8.9771, 21.7405
0.3458, -0.2184, -0.0944, 25.1069, 16.0305, 14.5344
0.3346, -0.2494, -0.0587, 33.8473, 20.6260, 10.1069
0.3051, -0.2618, -0.0038, 39.1832, 21.4656, 0.7634
0.2474, -0.2845, 0.0575, 34.2672, 21.8321, -6.0382
0.1913, -0.2853, 0.0670, 22.6031, 26.9008, -13.6107
0.1866, -0.2755, 0.0599, 11.9008, 26.7634, -19.5191
0.1954, -0.2506, 0.0804, 7.9160, 27.6565, -26.5344
0.2264, -0.2269, 0.1371, 7.4198, 27.5802, -28.2901
0.2362, -0.2003, 0.1669, 22.8550, 23.5191, -25.3664
0.2626, -0.1456, 0.1837, 46.4962, 16.8015, -17.5496
0.2548, -0.1473, 0.1522, 67.4962, 14.9160, -2.8931
0.2360, -0.1390, 0.1210, 76.1221, 13.0458, 8.6870
0.2252, -0.1866, 0.1600, 72.1527, 4.4809, 4.6565
0.1603, -0.2477, 0.2819, 58.8702, -15.6641, 10.9847
0.1798, -0.2330, 0.2548, 52.9771, -6.6794, -6.1145
0.1351, -0.2372, 0.1532, 47.3817, -24.1221, -8.9160
0.2003, -0.2240, 0.1483, 45.1069, -29.4656, -10.0992
0.2003, -0.2013, 0.1215, 25.1985, -20.1832, 2.2748
0.1757, -0.1847, 0.1937, 5.5191, 0.3130, 5.9618
0.1263, -0.2030, 0.3287, -5.9695, 12.0000, 6.0534
0.1068, -0.2318, 0.4777, -10.1603, 18.4198, 1.2672
0.0907, -0.2540, 0.4781, -8.5954, 27.6565, -1.0000
0.1058, -0.2206, 0.3051, -24.8626, 24.2824, 3.2595
0.1512, -0.1664, 0.0726, -44.0458, 34.4275, 11.4733
0.2118, -0.1779, 0.0197, -62.4275, 37.8092, 29.1527
0.2108, -0.2181, 0.0236, -63.9084, 43.0840, 38.5573
0.1793, -0.2533, 0.0819, -86.8931, 49.6794, 44.5038
0.0944, -0.2572, 0.1835, -70.8321, 57.0153, 38.7710
0.0785, -0.2941, 0.2794, -65.5267, 51.8397, 30.7786
0.0074, -0.3304, 0.2321, -84.0840, 81.0305, 31.7328
0.0162, -0.3566, 0.2675, -91.7099, 61.3053, 10.6565
0.0055, -0.2443, 0.3485, 2.9008, 18.4275, 1.0687
-0.0594, -0.2916, 0.2787, 31.9237, 22.2595, -6.4504
-0.0988, -0.3568, 0.3431, 26.2748, 26.4656, -5.5725
-0.0936, -0.3551, 0.4330, 57.9618, -6.6870, -10.2824
-0.0980, -0.3712, 0.3470, 60.9313, -9.4198, -3.4580
-0.0792, -0.3385, 0.3080, 45.6947, 10.9389, 0.2977
-0.0040, -0.2802, 0.2875, 41.1756, 14.7710, 6.5267
0.0697, -0.2242, 0.2238, 44.6260, 14.1221, 3.5954
0.1007, -0.1996, 0.1825, 41.4809, 17.4198, 0.7176
0.1161, -0.2128, 0.1561, 38.4427, 16.7328, 1.0992
0.1232, -0.2103, 0.1388, 37.0763, 16.7405, 0.9160
0.1078, -0.2091, 0.1364, 31.7939, 17.9695, -0.1450
0.0892, -0.2098, 0.2040, 29.9924, 15.2366, -4.6031
0.0739, -0.2057, 0.2670, 30.7710, 5.0153, -10.6107
0.0641, -0.2460, 0.3212, 34.9924, -8.2977, -10.7634
0.0463, -0.2137, 0.3058, 27.4046, 7.2214, -8.3893
0.0612, -0.2147, 0.3451, 7.7099, 9.1374, -1.6336
0.0687, -0.1993, 0.3402, 13.5649, -9.4656, 0.3511
0.0643, -0.2072, 0.2592, 18.4656, -19.1603, 4.0992
0.0558, -0.2372, 0.2101, 14.6107, -16.3511, 3.5954
0.0524, -0.2682, 0.2191, 14.0000, -14.9008, 0.6718
0.0443, -0.2657, 0.1942, 8.8168, -13.5954, -6.2061
0.0782, -0.2213, 0.2101, 3.2595, -10.5344, -8.3053
0.1141, -0.2001, 0.2128, 0.9313, -11.6794, -7.0000
0.1227, -0.1652, 0.2321, 1.0153, -8.6794, -0.7863
0.1168, -0.1779, 0.2401, 2.0687, -7.7405, 1.2214
0.1168, -0.1688, 0.2802, -2.4122, -8.2672, 3.1756
0.1156, -0.1686, 0.2955, 0.7176, -10.8473, -0.1374
0.1163, -0.1576, 0.2999, 1.4656, -11.2443, 0.6260
0.1217, -0.1537, 0.3243, 6.9313, -11.2290, 1.9008
0.1102, -0.1776, 0.2985, 18.4733, -16.9924, 5.0611
0.0868, -0.2103, 0.3156, 28.0153, -22.3817, 4.1603
0.0787, -0.2408, 0.3612, 30.4504, -25.7252, 1.1374
0.0668, -0.2418, 0.4230, 29.3893, -27.3740, -0.0534
0.0494, -0.2355, 0.4884, 33.0382, -32.3282, -1.2137
0.0468, -0.2365, 0.5016, 40.6489, -37.0229, -1.1832
0.0538, -0.2477, 0.4989, 42.1069, -39.8626, -1.0840
0.0763, -0.2540, 0.4772, 25.0916, -37.2137, 2.2901
0.0612, -0.2540, 0.4740, -1.1756, -27.6107, 4.7405
0.0961, -0.2147, 0.5472, -11.1450, -25.7099, 6.9008
0.0914, -0.1949, 0.5944, -8.3206, -30.9313, 2.6565
0.0912, -0.2045, 0.5616, -6.5954, -37.7328, 1.4427
0.1085, -0.1603, 0.4877, -0.3740, -41.8702, -15.6107
0.1530, -0.1864, 0.4352, 4.9313, -57.5725, -21.0763
0.1652, -0.1586, 0.3951, 8.9160, -72.7328, -26.6794
0.2145, -0.1412, 0.3358, 8.3282, -77.2901, -33.1221
0.2401, -0.1344, 0.2887, -0.4275, -66.4504, -28.6794
0.2445, -0.1385, 0.2904, -5.7634, -53.2443, -25.3664
0.2382, -0.1407, 0.2892, -5.0229, -45.8550, -23.1069
